country EN,AR,difference,asylum applicants,share population,FR,DE,IT,ES,PT,RU,JP,ZH
Austria,النمسا,2,12490,12299,Autriche,Österreich,Austria,Austria,Áustria,Австрия,オーストリア,奥地利
Belgium,بلجيكا,72,27460,15959,Belgique,Belgien,Belgio,Bélgica,Bélgica,Бельгия,ベルギー,比利时
Bulgaria,بلغاريا,-78,2150,9985,Bulgarie,Bulgarien,Bulgaria,Bulgaria,Bulgária,Болгария,ブルガリア,保加利亚
Croatia,كرواتيا,-76,1400,5835,Croatie,Kroatien,Croazia,Croacia,Croácia,Хорватия,クロアチア,克罗地亚
Cyprus,قبرص,1032,13650,1206,Chypre,Zypern,Cipro,Chipre,Chipre,Кипр,キプロス,塞浦路斯
Czech Republic,جمهورية التشيك,-87,1915,14884,République tchèque,Tschechische Republik,Repubblica Ceca,República Checa,República Checa,Чешская Республика,チェコ共和国,捷克共和国
Denmark,الدنمارك,-67,2700,8071,Danemark,Dänemark,Danimarca,Dinamarca,Dinamarca,Дания,デンマーク,丹麦
Estonia,إستونيا,-94,105,1853,Estonie,Estland,Estonia,Estonia,Estónia,Эстония,エストニア,爱沙尼亚
Finland,فنلندا,-42,4520,7731,Finlande,Finnland,Finlandia,Finlandia,Finlândia,Финляндия,フィンランド,芬兰
France,فرنسا,37,128940,93874,France,Frankreich,Francia,Francia,França,Франция,フランス,法国
Germany,ألمانيا,43,165615,115770,Allemagne,Deutschland,Germania,Alemania,Alemanha,Германия,ドイツ,德国
Greece,اليونان,410,77275,15150,Grèce,Griechenland,Grecia,Grecia,Grécia,Греция,ギリシャ,希腊
Hungary,هنغاريا,-96,500,13788,Hongrie,Ungarn,Ungheria,Hungría,Hungria,Венгрия,ハンガリー,匈牙利
Iceland,أيسلندا,76,845,480,Islande,Island,Islanda,Islandia,Islândia,Исландия,アイスランド,冰岛
Ireland,أيرلندا,-29,4780,6727,Irlande,Irland,Irlanda,Irlanda,Irlanda,Ирландия,アイルランド,爱尔兰
Italy,إيطاليا,-49,43770,85172,Italie,Italien,Italia,Italia,Itália,Италия,イタリア,意大利
Latvia,لاتفيا,-93,195,2744,Lettonie,Lettland,Lettonia,Letonia,Letónia,Латвия,ラトビア,拉脱维亚
Lithuania,ليتوانيا,-84,645,4010,Lituanie,Litauen,Lituania,Lituania,Lituânia,Литва,リトアニア,立陶宛
Luxembourg,لوكسمبورغ,174,2270,828,Luxembourg,Luxemburg,Lussemburgo,Luxemburgo,Luxemburgo,Люксембург,ルクセンブルク,卢森堡
Malta,مالطا,527,4085,652,Malte,Malta,Malta,Malta,Malta,Мальта,マルタ,马耳他
Netherlands,هولندا,5,25200,24021,Pays-Bas,Niederlande,Paesi Bassi,Países Bajos,Países Baixos,Нидерланды,ネザーランド,荷兰
Norway,النرويج,-69,2265,7384,Norvège,Norwegen,Norvegia,Noruega,Noruega,Норвегия,ノルウェー,挪威
Poland,بولندا,-92,4070,53398,Pologne,Polen,Polonia,Polonia,Polónia,Польша,ポーランド,波兰
Portugal,البرتغال,-87,1820,14508,Portugal,Portugal,Portogallo,Portugal,Portugal,Португалия,ポルトガル,葡
Romania,رومانيا,-91,2590,27619,Roumanie,Rumänien,Romania,Rumania,Roménia,Румыния,ルーマニア,罗马尼亚
Slovakia,سلوفاكيا,-97,230,7642,Slovaquie,Slowakei,Slovacchia,Eslovaquia,Eslováquia,Словакия,スロバキア,斯洛伐克
Slovenia,سلوفينيا,31,3820,2908,Slovénie,Slowenien,Slovenia,Eslovenia,Eslovénia,Словения,スロベニア,斯洛文尼亚
Spain,إسبانيا,80,117800,65522,Espagne,Spanien,Spagna,España,Espanha,Испания,スペイン,西班牙
Sweden,السويد,87,26255,14044,Suède,Schweden,Svezia,Suecia,Suécia,Швеция,スウェーデン,瑞典
Switzerland,سويسرا,20,14195,11814,Suisse,Schweiz,Svizzera,Suiza,Suíça,Швейцария,スイス,瑞士
United Kingdom,المملكة المتحدة,-52,44835,92512,Royaume-Uni,Vereinigtes Königreich,Regno Unito,Reino Unido,Reino Unido,Соединённое Королевство,イギリス,联合王国